Danh_Muc,Ten_San_Pham,Gia_Nhap,Gia_Ban
Phụ kiện,Bơm 36V Headon HF-9200- Đài Loan,1100000,1500000
Phụ kiện,Bơm 24V Dauer Plus,360000,550000
Phụ kiện,Đầu bơm Taiwan 24V,180000,290000
Phụ kiện,Đầu bơm 24V L2,150000,250000
Phụ kiện,Đầu bơm 36V Headon 9200,335000,500000
Phụ kiện,Dây RO trắng nhỏ 6mm (m),3000,10000
Phụ kiện,Dây RO trắng lớn 10mm (m),6000,15000
Phụ kiện,Bút điện phân,70000,120000
Phụ kiện,Bút đo PH,135000,220000
Phụ kiện,Bút đo TDS hộp giấy,180000,290000
Phụ kiện,Bút đo TDS bao da,75000,130000
Phụ kiện,Bút đo 5 trong 1 đa chức năng,950000,1300000
Phụ kiện,Bút đo 4 trong 1 đa chức năng,650000,950000
Phụ kiện,Lõi PP 10 inch Novali - lõi số 1,18000,50000
Phụ kiện,Lõi PP 10 inch có nắp Novali - lõi số 1,25000,60000
Phụ kiện,Lõi OCB 10 inch Novali than hoạt tính - lõi số 2,32000,80000
Phụ kiện,Lõi CTO 10 inch Novali than hoạt tính - lõi số 3,25000,70000
Phụ kiện,Lõi Cation 10 inch (dùng cho nước nhiễm vôi),99000,180000
Phụ kiện,Lõi PP 20 inch - lõi số 1,36000,80000
Phụ kiện,Lõi UDF 20 inch - lõi số 2,68000,130000
Phụ kiện,Lõi CTO 20 inch - lõi số 3,56000,110000
Phụ kiện,Lõi T33 trắng nhỏ,60000,120000
Phụ kiện,Lõi khoáng đá,65000,130000
Phụ kiện,Lõi Alkaline,100000,180000
Phụ kiện,Lõi hồng ngoại,100000,180000
Phụ kiện,Lõi Nano bạc,130000,220000
Phụ kiện,Lõi ion kiềm tươi Hàn Quốc,500000,750000
Phụ kiện,Lõi Sediment 11 inch Hàn Quốc,95000,160000
Phụ kiện,Lõi Pre Carbon 11 inch Hàn Quốc,99000,170000
Phụ kiện,Lõi Post Carbon 11 inch Hàn Quốc,99000,170000
Phụ kiện,Màng UF 11 inch Hàn Quốc,350000,550000
Phụ kiện,Lõi lượng tử diệt khuẩn CANADA,1200000,1700000
Phụ kiện,Tủ kính cường lực in 3D,850000,1200000
Phụ kiện,Van 1 chiều thẳng nối nhanh,23000,50000
Phụ kiện,Van áp cao nối nhanh,42000,80000
Phụ kiện,Van áp thấp nối nhanh,42000,80000
Phụ kiện,Van bình áp 3.2G/11G,28000,60000
Phụ kiện,Van điện từ 24V,72000,130000
Phụ kiện,Van điện từ 36V,120000,200000
Phụ kiện,Vòi gạt RO,90000,160000
Phụ kiện,Vòi gạt RO inox SUS304,140000,230000
Phụ kiện,Cốc lọc trong 10 inch 1 ron ren 13,98000,180000
Phụ kiện,Cốc lọc trắng 10 inch 1 ron ren 13,86000,160000
Phụ kiện,Cốc trong 20 inch ren 27/21/17,330000,500000
Phụ kiện,Cốc xanh 20 inch ren 27/21/17,180000,290000
Phụ kiện,Tê đều nối nhanh 3 đầu dây 10mm,10000,25000
Phụ kiện,Tê đều nối nhanh 3 đầu dây 6mm,6000,20000
Phụ kiện,Co 2 đầu 6mm nối nhanh,4000,15000
Phụ kiện,Nối thẳng 2 đầu 6mm,4000,15000
Phụ kiện,Nối thẳng 1 đầu 10mm - 6mm,6000,20000
Phụ kiện,Nối thẳng 2 đầu 10mm,6000,20000
Phụ kiện,Nối thẳng ren ngoài 21 ra dây 10mm,15000,35000
Phụ kiện,Nối thẳng ren ngoài 21 ra dây 6mm,15000,35000
Phụ kiện,Nối thẳng ren trong 27 ra dây 10mm,30000,60000
Phụ kiện,Co ren 17mm ra dây 6mm,6000,20000
Phụ kiện,Co ren 13mm ra dây 6mm,4000,15000
Phụ kiện,Flow 300 nối nhanh,25000,50000
Phụ kiện,Flow 400 - Flow 550,30000,60000
Phụ kiện,Van khóa 10mm bằng nhựa,42000,80000
Phụ kiện,Van khóa 10mm bằng inox,58000,110000
Phụ kiện,Giá nhựa đa năng RO dân dụng,70000,130000
Phụ kiện,Giá nhựa bắt vòi,5000,20000
Phụ kiện,Gioăng (kít) bơm 24V,55000,100000
Phụ kiện,Kẹp màng đơn - kẹp lệch - kẹp kép đều,5000,20000
Phụ kiện,Màng RO CSM 50G- RE1812,280000,450000
Phụ kiện,Màng RO CSM 100G-RE 2012,420000,650000
Phụ kiện,Màng RO CRUZE 80G CZM-1812,195000,320000
Phụ kiện,Tay vặn cốc 10 inch,10000,30000
Phụ kiện,Tay vặn cốc 20 inch,22000,50000
Phụ kiện,Vỏ màng RO trắng nhỏ,50000,100000
Phụ kiện,Bộ đơn lọc thô 10 inch 1 ly trong,138000,250000
Phụ kiện,Bộ đôi lọc thô 10 inch 1 ly trong 1 ly trắng,277000,450000
Phụ kiện,Bộ ba lọc thô 10 inch 1 ly trong 2 ly trắng,415000,650000
Phụ kiện,Bộ đơn lọc thô 20 inch 1 ly xanh,236000,380000
Phụ kiện,Bộ đơn lọc thô 20 inch 1 ly trong,385000,600000
Phụ kiện,Bộ đôi lọc thô 20 inch 2 ly xanh,441000,680000
Phụ kiện,Bộ ba lọc thô 20 inch 3 ly xanh,719000,1050000
Phụ kiện,Bộ bigblue đơn lọc thô 20 inch 1 ly trắng lớn,810000,1150000
Phụ kiện,Bộ bigblue đôi lọc thô 20 inch 2 ly trắng lớn,1708500,2300000
Phụ kiện,Bộ bigblue ba lọc thô 20 inch 3 ly trắng lớn,2652000,3500000
Phụ kiện,Bộ lọc tổng UF PVDF 2 cấp,3960000,5200000
Phụ kiện,Bộ lọc tổng UF PVDF 3 cấp,4990000,6500000
Phụ kiện,Bộ lọc tổng UF PVDF 4 cấp,6500000,8500000
Phụ kiện,Màng RO CSM 300G,1695000,2300000
Phụ kiện,Vỏ màng RO 300G,350000,550000
Phụ kiện,Bộ cột 10*54 hỗn hợp lọc phèn composite,1990000,2600000
Phụ kiện,Bộ cột lọc phèn kim loại nặng composite,1990000,2600000
Phụ kiện,Bộ cột 10*54 lọc khử mùi clo composite,2350000,3100000
Phụ kiện,Bộ cột 10*54 lọc trao đổi ion khử vôi composite,2990000,3900000
Phụ kiện,Kệ lọc nước chân nhựa thanh inox,65000,130000
Phụ kiện,Kệ lọc nước thanh inox chân bọc inox,105000,190000
Phụ kiện,Kệ máy giặt tủ lạnh thanh inox bọc chân inox,130000,220000
